"OBJECTID","Municipio","Departamento","Código departamento","Código municipio","Gridcode","Aptitud","Área (ha)","Consecutivo"
"1","Calamar","Guaviare","95","95015","0","No apta","0.09","54"
"2","Calamar","Guaviare","95","95015","0","No apta","80,955.02","256"
"3","Calamar","Guaviare","95","95015","1","Aptitud baja","4,117.87","322"
"4","Calamar","Guaviare","95","95015","1","Aptitud baja","13,782.04","397"
"5","El Retorno","Guaviare","95","95025","0","No apta","0.00","723"
"6","El Retorno","Guaviare","95","95025","0","No apta","0.09","1,007"
"7","Miraflores","Guaviare","95","95200","0","No apta","0.00","1,830"
"8","El Retorno","Guaviare","95","95025","8","Exclusión legal","0.00","1,591"
"9","El Retorno","Guaviare","95","95025","8","Exclusión legal","687,327.58","1,792"
"10","Miraflores","Guaviare","95","95200","0","No apta","0.00","1,865"
"11","Miraflores","Guaviare","95","95200","0","No apta","163,549.97","1,910"
"12","Miraflores","Guaviare","95","95200","0","No apta","0.00","2,022"
"13","Miraflores","Guaviare","95","95200","0","No apta","0.00","2,219"
"14","San José del Guaviare","Guaviare","95","95001","0","No apta","1,078,317.54","3,129"
"15","San José del Guaviare","Guaviare","95","95001","2","Aptitud media","9,251.09","3,295"
"16","Calamar","Guaviare","95","95015","0","No apta","1.30","31"
"17","Calamar","Guaviare","95","95015","0","No apta","1.30","32"
"18","Calamar","Guaviare","95","95015","2","Aptitud media","0.54","453"
"19","San José del Guaviare","Guaviare","95","95001","1","Aptitud baja","3,008.57","3,570"
"20","San José del Guaviare","Guaviare","95","95001","2","Aptitud media","0.05","3,611"
"21","Calamar","Guaviare","95","95015","0","No apta","1.77","33"
"22","Calamar","Guaviare","95","95015","0","No apta","0.93","34"
"23","Calamar","Guaviare","95","95015","0","No apta","1.39","35"
"24","Calamar","Guaviare","95","95015","0","No apta","0.00","152"
"25","San José del Guaviare","Guaviare","95","95001","2","Aptitud media","1,284.46","3,915"
"26","Calamar","Guaviare","95","95015","0","No apta","0.00","153"
"27","Calamar","Guaviare","95","95015","0","No apta","0.00","154"
"28","San José del Guaviare","Guaviare","95","95001","8","Exclusión legal","54,641.81","4,286"
"29","Calamar","Guaviare","95","95015","0","No apta","0.62","1"
"30","Calamar","Guaviare","95","95015","0","No apta","7,053.55","2"
"31","Calamar","Guaviare","95","95015","0","No apta","0.46","3"
"32","Calamar","Guaviare","95","95015","0","No apta","0.19","4"
"33","Calamar","Guaviare","95","95015","0","No apta","0.37","5"
"34","Calamar","Guaviare","95","95015","0","No apta","0.09","6"
"35","Calamar","Guaviare","95","95015","0","No apta","0.92","7"
"36","Calamar","Guaviare","95","95015","0","No apta","0.00","8"
"37","Calamar","Guaviare","95","95015","0","No apta","1.17","9"
"38","San José del Guaviare","Guaviare","95","95001","8","Exclusión legal","28,399.54","4,326"
